druckort,dbsm_count,location,lat,lon
Lérida,,"Lleida, Segrià, Lleida, Catalunya, España",41.6147605,0.6267842
Limoges,,"Limoges, Haute-Vienne, Nouvelle-Aquitaine, France métropolitaine, France",45.8354243,1.2644847
Lissabon,,"Lisboa, Portugal",38.7077507,-9.1365919
Löwen,,"Leuven, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",50.879202,4.7011675
Logroño,,"Logroño, La Rioja, España",42.4661196,-2.4396676
London,,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
Lucca,1.0,"Lucca, Toscana, Italia",44.017763900000006,10.454430026192636
Lübeck,,"Lübeck, Markt, Innenstadt, Lübeck, Schleswig-Holstein, 23552, Deutschland",53.866444,10.684738
Lüneburg,,"Lüneburg, Niedersachsen, Deutschland",53.248706,10.407855
Lüttich,,"Liège, Wallonie, 4000, België / Belgique / Belgien",50.6451381,5.5734203
Lyon,9.0,"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France",45.7578137,4.8320114
Mâcon,,"Mâcon, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71000, France",46.3036683,4.8322266
Madrid,,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825
Magdeburg,1.0,"Magdeburg, Sachsen-Anhalt, Deutschland",52.1315889,11.6399609
Mailand,15.0,"Milano, Lombardia, Italia",45.4668,9.1905
Mainz,81.0,"Mainz, Rheinland-Pfalz, Deutschland",50.0012314,8.2762513
Mallorca,,"Mallorca, Illes Balears, España",39.6134018,2.8804305326400756
Mantua,2.0,"Mantova, Lombardia, Italia",45.1692628,10.670836515673878
Marienburg,,"Malbork, powiat malborski, województwo pomorskie, 82-200, Polska",54.0287383,19.039396385383558
Marienthal,4.0,"Marienthal, Wandsbek, Hamburg, 22043, Deutschland",53.5651302,10.0823813
Matelica,,"Matelica, Macerata, Marche, 62024, Italia",43.25656,13.0105143
Meissen,,"Meißen, Sachsen, Deutschland",51.1630871,13.4704939
Memmingen,6.0,"Memmingen, Bayern, 87700, Deutschland",47.9867696,10.181319
Merseburg,,"Merseburg, Saalekreis, Sachsen-Anhalt, 06217, Deutschland",51.3564413,11.996148
Messaga,,"Messaga, Cecina, Toscolano Maderno, Comunità Montana Parco Alto Garda bresciano, Brescia, Lombardia, 25088, Italia",45.6529842,10.6252274
Messina,,"Messina, Sicilia, Italia",38.1937571,15.5542082
Metz,,"Metz, Moselle, Grand Est, France métropolitaine, France",49.1196964,6.1763552
Modena,,"Modena, Emilia-Romagna, Italia",44.5384728,10.935960870530739
Mondoñedo,,"Mondoñedo, A Mariña Central, Lugo, Galicia, España",43.4296687,-7.3638814
Mondovi,,"Mondovì, Cuneo, Piemonte, Italia",44.3900282,7.8204718
Montalban,,"Montauban, Tarn-et-Garonne, Occitanie, France métropolitaine, 82000, France",44.0175835,1.3549991
Montserrat,,Montserrat,41.593261988556215, 1.836785204710329
Moutiers,,"Moutiers, Briey, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54660, France",49.2332157,5.9669258
München,,"München, Bayern, Deutschland",48.1371079,11.5753822
Münster,,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879
Murcia,,"Murcia, Área Metropolitana de Murcia, Región de Murcia, España",37.9923795,-1.1305431
Nantes,,"Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, France",47.2186371,-1.5541362
Narbonne,,"Narbonne, Aude, Occitanie, France métropolitaine, 11100, France",43.1837661,3.0042121
Nazzano,,"Nazzano, Roma Capitale, Lazio, Italia",42.229257,12.5976389
Neapel,2.0,"Napoli, Campania, Italia",40.8359336,14.2487826
Niederlande,,Nederland,52.5001698,5.7480821
Nijmegen,,"Nijmegen, Gelderland, Nederland",51.842574850000005,5.838960628748229
Nördlingen,,"Nördlingen, Landkreis Donau-Ries, Bayern, Deutschland",48.8516578,10.4885873
Nonantola,,"Nonantola, Unione dei comuni del Sorbara, Modena, Emilia-Romagna, 41015, Italia",44.6776083,11.0436236
Novi,,"Novi Sad",45.24087377722223, 19.820429831083135
