"idn","year"
1071876465,1754
"107187649X",1754
1071876570,1754
1071876716,1754
1071877119,1754
1071877178,1754
1071902695,1754
1071902768,1754
1071902792,1754
1071902881,1754
1071902970,1754
1071902997,1754
1071903047,1754
"107190308X",1754
1071903136,1754
1071913557,1754
1071913603,1754
1071913638,1754
1071913751,1754
1071913794,1754
1071913840,1754
1071913875,1754
1071913883,1754
"107191393X",1754
1071914065,1754
"107191667X",1754
1071916726,1754
1071916793,1754
1071916831,1754
1071916866,1754
1071917315,1754
1071917366,1754
1071917498,1754
1071917595,1754
1071917781,1754
1071918052,1754
1071918133,1754
1071918591,1754
1071918699,1754
"107191877X",1754
1071918818,1754
1071918850,1754
1071918893,1754
1071918958,1754
1071923897,1754
1071923986,1754
1071924028,1754
1071924451,1754
1071924508,1754
1071924532,1754
1071924613,1754
"107192463X",1754
1071924699,1754
1071924710,1754
1071961586,1754
1071961977,1754
1071962027,1754
1071962140,1754
"107196237X",1754
1071962396,1754
1071962426,1754
1071962442,1754
1071962485,1754
1071962507,1754
"107196254X",1754
1071962558,1754
1071962582,1754
1071962795,1754
1071962809,1754
1071964151,1754
1071964321,1754
1071964380,1754
1071964402,1754
1071964410,1754
1071964437,1754
1071964445,1754
1071964461,1754
"107196447X",1754
1071964623,1754
"107196464X",1754
1071964666,1754
1071964682,1754
"107196481X",1754
1071964852,1754
1071965050,1754
1071965107,1754
"107196514X",1754
1071965921,1754
1071965956,1754
1071965964,1754
1071965980,1754
1071966057,1754
1071966081,1754
"107196609X",1754
1071966138,1754
1071966170,1754
1071966197,1754
1071966324,1754
1071966340,1754
1071966383,1754
1071966391,1754
1071966405,1754
1071966456,1754
1071966464,1754
1071966499,1754
1071966529,1754
1071966758,1754
1071995839,1754
"107199588X",1754
1071995901,1754
"107199591X",1754
1071995928,1754
1071995952,1754
1071995979,1754
1071996355,1754
1071996363,1754
1071996452,1754
1071996517,1754
1071996851,1754
1071996878,1754
"107199705X",1754
1071997076,1754
1071997106,1754
1071997394,1754
1071997467,1754
1071997580,1754
1071997815,1754
1071997858,1754
1071997874,1754
1071997882,1754
1071997890,1754
1071998048,1754
1071998099,1754
1071998331,1754
1071998358,1754
1071998595,1754
1071999176,1754
1071999192,1754
1071999540,1754
1071999575,1754
1071999737,1754
1071999753,1754
1071999893,1754
1072008459,1754
1072008548,1754
1072008564,1754
1072008599,1754
1072008629,1754
1072008688,1754
1072008750,1754
"107200884X",1754
1072008890,1754
1072009560,1754
1072009757,1754
1072009811,1754
1072009870,1754
1072010925,1754
1072011026,1754
1072011115,1754
"107201114X",1754
1072011220,1754
1072011271,1754
1072011301,1754
"107201131X",1754
1072011360,1754
1072011395,1754
1072011573,1754
"107201162X",1754
1072011670,1754
1072011743,1754
1072012502,1754
1072012545,1754
1072012588,1754
1072012618,1754
1072013649,1754
1072013681,1754
"107201372X",1754
1072013827,1754
"107201386X",1754
1072013924,1754
1072014009,1754
1072014068,1754
1072014203,1754
1072014238,1754
1072014289,1754
1072014327,1754
1072014378,1754
1072014548,1754
1072014904,1754
1072014912,1754
1072014920,1754
"107201498X",1754
"107201503X",1754
1072015072,1754
