id;ort;count;location;lat;lon
140;Rendsburg;21;Rendsburg, Rendsburg-Eckernförde, Schleswig-Holstein, 24768, Deutschland;54.3046701;9.6645115
141;Moskau;21;Москва, Центральный федеральный округ, Россия;55.7504461;37.6174943
142;München-Gladbach;21;;;
143;Marburg;21;Marburg, Landkreis Marburg-Biedenkopf, Hessen, Deutschland;50.8117327;8.7757742
144;Utrecht;21;Utrecht, Nederland;52.080985600000005;5.12768396945229
145;Sondershausen;20;Sondershausen, Kyffhäuserland, Kyffhäuserkreis, Thüringen, 99707, Deutschland;51.3666041;10.8668419
146;Bernburg (Saale);20;Bernburg, Salzlandkreis, Sachsen-Anhalt, 06406, Deutschland;51.7930788;11.7391606
147;Brandenburg an der Havel;20;Brandenburg an der Havel, Brandenburg, Deutschland;52.4108261;12.5497933
148;Hamm (Westf);20;Hamm (Westf) Hbf, Willy-Brandt-Platz, Hamm, Nordrhein-Westfalen, 59065, Deutschland;51.6785747;7.807713
149;Greifswald;20;Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland;54.095791;13.3815238
150;Preßburg;20;Bratislava, Bratislavský kraj, Slovensko;48.1516988;17.1093063
151;Rotterdam;20;Rotterdam, 1207, Weena, CS-Kwartier, Centrum, Rotterdam, Zuid-Holland, Nederland, 3013AL, Nederland;51.9228934;4.4631786
152;Bochum;20;Bochum, Nordrhein-Westfalen, Deutschland;51.4818111;7.2196635
153;Hermannstadt;20;Sibiu, România;45.7973912;24.1519202
154;Passau;20;Passau, Bayern, Deutschland;48.5748229;13.4609744
155;Bad Langensalza;20;Bad Langensalza, Unstrut-Hainich-Kreis, Thüringen, 99947, Deutschland;51.1082267;10.6464452
156;Hof (Saale);20;Saale, Blankenstein, Blankenberg, Rosenthal am Rennsteig, Lichtenberg, Saale-Orla-Kreis, Thüringen, 07366, Deutschland;50.40560945;11.706165516733092
157;Kaiserslautern;19;Kaiserslautern, Rheinland-Pfalz, Deutschland;49.4432174;7.7689951
158;Goslar;19;Goslar, Landkreis Goslar, Niedersachsen, Deutschland;51.9059936;10.4266284
159;Ravensburg;19;Ravensburg, Verwaltungsverband Mittleres Schussental, Landkreis Ravensburg, Baden-Württemberg, Deutschland;47.7811014;9.612468
160;Speyer;19;Speyer, Rheinland-Pfalz, 67346, Deutschland;49.3165553;8.433615
161;Döbeln;19;Döbeln, Mittelsachsen, Sachsen, 04720, Deutschland;51.1167001;13.1166999
162;Rom;19;Roma, Roma Capitale, Lazio, Italia;41.8989553;12.4730842
163;Solothurn;18;Solothurn, Schweiz/Suisse/Svizzera/Svizra;47.31874;7.6698284
164;Krakau;18;Kraków, województwo małopolskie, Polska;50.0469432;19.997153435836697
165;Wismar;18;Wismar, Nordwestmecklenburg, Mecklenburg-Vorpommern, Deutschland;53.8909832;11.4647932
166;Świdnica;18;Świdnica, powiat świdnicki, województwo dolnośląskie, Polska;50.8424835;16.4870549
167;Tilsit;18;Советск, Советский городской округ, Калининградская область, Северо-Западный федеральный округ, Россия;55.0809688;21.8882673
168;Duisburg;18;Duisburg, Nordrhein-Westfalen, Deutschland;51.434999;6.759562
169;Mülheim an der Ruhr;18;Mülheim an der Ruhr, Nordrhein-Westfalen, Deutschland;51.4272925;6.8829192
170;Flensburg;18;Flensburg, Schleswig-Holstein, Deutschland;54.7833021;9.4333264
171;Neustadt- Haardt an der Weinstraße;18;Haardt an der Weinstraße, Neustadt an der Weinstraße, Rheinland-Pfalz, Deutschland;49.3662836;8.135344826337546
172;Köthen (Anhalt);18;Köthen (Anhalt), Anhalt-Bitterfeld, Sachsen-Anhalt, 06366, Deutschland;51.7500048;11.9666985
173;Quedlinburg;18;Quedlinburg, Landkreis Harz, Sachsen-Anhalt, Deutschland;51.7855428;11.1519933
174;Żary;17;Żary, gmina Żary, powiat żarski, województwo lubuskie, Polska;51.62443815;15.148724672498012
175;Aarau;17;Aarau, Bezirk Aarau, Aargau, 5000, Schweiz/Suisse/Svizzera/Svizra;47.3927146;8.0444448
176;Innsbruck;17;Innsbruck, Tirol, Österreich;47.2654296;11.3927685
177;Saarbrücken;17;Saarbrücken, Regionalverband Saarbrücken, Saarland, Deutschland;49.234362;6.996379
178;Jelgava;17;Jelgava, Zemgale, Latvija;56.6514394;23.7339143
179;Ansbach;17;Ansbach, Bayern, 91522, Deutschland;49.3028611;10.5722288
180;Temesvár;17;Timișoara, Timiș, România;45.7538355;21.2257474
181;Konstanz;17;Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, Deutschland;47.659216;9.1750718
182;Lissa;17;Leszno, powiat leszczyński, województwo wielkopolskie, Polska;51.8436068;16.58042182076424
183;Wittenberg;17;Wittenberg, Sachsen-Anhalt, Deutschland;51.8666527;12.646761
184;Bad Kreuznach;17;Bad Kreuznach, Landkreis Bad Kreuznach, Rheinland-Pfalz, Deutschland;49.8431642;7.8657658
185;Gleiwitz;17;Gliwice, powiat gliwicki, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, Polska;50.30113145;18.662347227971978
186;Fürth;17;Fürth, Bayern, Deutschland;49.477263;10.989616
187;Eisenach;17;Eisenach, Wutha-Farnroda, Thüringen, 99848, Deutschland;50.9747134;10.3193565
188;Thorn;17;Toruń, powiat toruński, województwo kujawsko-pomorskie, Polska;53.0145361;18.596583144651557
189;Oppeln;16;Opole, powiat opolski, województwo opolskie, Polska;50.678792900000005;17.929884436033525
190;Glauchau;16;Glauchau, Zwickau, Sachsen, 08371, Deutschland;50.8199031;12.5397873
191;Ljubljana;16;Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija;46.0499803;14.5068602
192;Hanau;16;Hanau, Main-Kinzig-Kreis, Hessen, Deutschland;50.1335542;8.9168179
193;Baden-Baden;16;Baden-Baden, Baden-Württemberg, Deutschland;48.7580777;8.2415239
194;Mühlhausen/Thüringen;16;Mühlhausen/Thüringen, Mühlhausen, Unstrut-Hainich-Kreis, Thüringen, 99974, Deutschland;51.2094255;10.4589044
195;Siegen;16;Siegen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, Deutschland;50.8749804;8.0227233
196;Marienwerder;16;Kwidzyn, powiat kwidzyński, województwo pomorskie, Polska;53.7204653;18.937464130662192
197;Neuwied;16;Neuwied, Landkreis Neuwied, Rheinland-Pfalz, Deutschland;50.4302589;7.4663112
198;Rudolstadt;16;Rudolstadt, Kamsdorf, Landkreis Saalfeld-Rudolstadt, Thüringen, 07407, Deutschland;50.7206063;11.3401985
199;Schwäbisch Hall;16;Schwäbisch Hall, Verwaltungsgemeinschaft Schwäbisch Hall, Landkreis Schwäbisch Hall, Baden-Württemberg, 74523, Deutschland;49.1123963;9.7369047
200;Kronštadt;16;Brașov, România;45.6523093;25.6102746
201;Teschen;16;Cieszyn, powiat cieszyński, województwo śląskie, 43-400, Polska;49.7557676;18.65623134091032
202;Arnsberg;16;Arnsberg, Hochsauerlandkreis, Nordrhein-Westfalen, Deutschland;51.4002384;8.0605908
